"","final_sitename","latitude.dd.","longitude.dd.","survey_rep","year","final_classification","percent_cover","rank_overall"
"1","Graves Harbor AK",58.2708167,-136.73148,1,2003,"semibalanus cariosus",32.1611,21
"2","Graves Harbor AK",58.2708167,-136.73148,1,2003,"rock",13.555,1
"3","Graves Harbor AK",58.2708167,-136.73148,1,2003,"alaria nana",7.3529,27
"4","Graves Harbor AK",58.2708167,-136.73148,1,2003,"corallina spp",6.9054,3
"5","Graves Harbor AK",58.2708167,-136.73148,1,2003,"encrusting coralline",4.0281,7
"6","Graves Harbor AK",58.2708167,-136.73148,1,2003,"mytilus californianus",3.9003,2
"7","Graves Harbor AK",58.2708167,-136.73148,1,2003,"fucus spp",3.8363,22
"8","Graves Harbor AK",58.2708167,-136.73148,1,2003,"balanus glandula",3.3887,6
"9","Graves Harbor AK",58.2708167,-136.73148,1,2003,"mazzaella cordata/splendens",1.1509,11
"10","Graves Harbor AK",58.2708167,-136.73148,1,2003,"petrocelis spp",0.5754,12
"11","Graves Harbor AK",58.2708167,-136.73148,1,2003,"chthamalus spp",0.5115,4
"12","Graves Harbor AK",58.2708167,-136.73148,1,2003,"mastocarpus papillatus",0.3836,14
"13","Graves Harbor AK",58.2708167,-136.73148,1,2003,"endocladia muricata",0.2558,5
"14","Graves Harbor AK",58.2708167,-136.73148,1,2003,"ralfsiaceae",0.0639,17
"15","Yakobi AK",58.0815,-136.55453,1,2003,"rock",18.4887,1
"16","Yakobi AK",58.0815,-136.55453,1,2003,"semibalanus cariosus",17.3633,21
"17","Yakobi AK",58.0815,-136.55453,1,2003,"alaria nana",16.2915,27
"18","Yakobi AK",58.0815,-136.55453,1,2003,"corallina spp",11.3612,3
"19","Yakobi AK",58.0815,-136.55453,1,2003,"chthamalus spp",4.6088,4
"20","Yakobi AK",58.0815,-136.55453,1,2003,"mytilus californianus",3.3226,2
"21","Yakobi AK",58.0815,-136.55453,1,2003,"balanus glandula",2.4652,6
"22","Yakobi AK",58.0815,-136.55453,1,2003,"endocladia muricata",1.3398,5
"23","Yakobi AK",58.0815,-136.55453,1,2003,"encrusting coralline",1.3398,7
"24","Yakobi AK",58.0815,-136.55453,1,2003,"mazzaella cordata/splendens",0.8039,11
"25","Yakobi AK",58.0815,-136.55453,1,2003,"fucus spp",0.3215,22
"26","Yakobi AK",58.0815,-136.55453,1,2003,"petrocelis spp",0.2144,12
"27","Yakobi AK",58.0815,-136.55453,1,2003,"mastocarpus papillatus",0.0536,14
"28","Port Mary AK",57.1542333,-135.75452,1,2003,"semibalanus cariosus",29.7143,21
"29","Port Mary AK",57.1542333,-135.75452,1,2003,"rock",18.1429,1
"30","Port Mary AK",57.1542333,-135.75452,1,2003,"chthamalus spp",9.5,4
"31","Port Mary AK",57.1542333,-135.75452,1,2003,"balanus glandula",9.3571,6
"32","Port Mary AK",57.1542333,-135.75452,1,2003,"alaria nana",4.8571,27
"33","Port Mary AK",57.1542333,-135.75452,1,2003,"corallina spp",2.3571,3
"34","Port Mary AK",57.1542333,-135.75452,1,2003,"endocladia muricata",1.5,5
"35","Port Mary AK",57.1542333,-135.75452,1,2003,"fucus spp",1.1429,22
"36","Port Mary AK",57.1542333,-135.75452,1,2003,"mytilus californianus",0.9286,2
